iata,lat,lon,country,icao,tz,city,subd,size
MFM,22.1496,113.592,MO,VMMC,Asia/Macau,Taipa,,medium
BGL,28.2128,83.6663,NP,VNBL,Asia/Kathmandu,Baglung,Western Region,small
JUM,29.2742,82.1933,NP,VNJL,Asia/Kathmandu,Jumla,Mid-Western,small
KEP,28.1036,81.667,NP,VNNG,Asia/Kathmandu,Nepalgunj,Mid-Western,small
RJB,26.517,86.75,NP,VNRB,Asia/Kathmandu,Rajbiraj,Eastern Region,small
IMK,29.9711,81.8189,NP,VNST,Asia/Kathmandu,Simikot,Mid-Western,small
TIR,13.6325,79.5433,IN,VOTP,Asia/Kolkata,Tirupati,Andhra Pradesh,medium
PBH,27.4032,89.4246,BT,VQPR,Asia/Thimphu,Paro,Paro,medium
PYY,19.372,98.437,TH,VTCI,Asia/Bangkok,Mae Hong Son,Mae-Hong-Son,small
HPH,20.8194,106.725,VN,VVCI,Asia/Ho_Chi_Minh,Haiphong,Hải-Phong,small
SGN,10.8188,106.652,VN,VVTS,Asia/Ho_Chi_Minh,Ho Chi Minh City,Ho-Chi-Minh-City,medium
VBC,21.9405,96.0896,MM,VYCZ,Asia/Yangon,Mandalay,Mandalay,small
GAW,22.1747,94.1344,MM,VYGG,Asia/Yangon,Gangaw,Magway,small
PKK,21.4043,95.11125,MM,VYPU,Asia/Yangon,Pakhokku,Magway,small
LII,-3.70947,137.976,ID,WAJM,Asia/Jayapura,Mulia-Papua Island,Papua,small
WAR,-3.22243,140.979,ID,WAJR,Asia/Jayapura,Waris-Papua Island,Papua,small
OKQ,-8.08822,139.71899,ID,WAKO,Asia/Jayapura,Okaba-Papua Island,Papua,small
TJS,2.83641,117.374,ID,WALG,Asia/Makassar,Tanjung Selor-Borneo Island,East Kalimantan,small
WBA,-2.81417,129.48199,ID,WAPV,Asia/Jayapura,Seram Island,Maluku,small
INX,-2.1281,132.161,ID,WASI,Asia/Jayapura,Inanwatan Airport-Papua Island,Papua,small
SOQ,-0.92636,131.121,ID,WASS,Asia/Jayapura,Sorong-Papua Island,West Papua,small
MXB,-2.55804,120.324,ID,WAWM,Asia/Makassar,Masamba-Celebes Island,South Sulawesi,small
BTU,3.12385,113.02,MY,WBGB,Asia/Kuching,Bintulu,Sarawak,small
SBW,2.2616,111.985,MY,WBGS,Asia/Kuching,Sibu,Sarawak,small
PPR,0.84543,100.37,ID,WIDE,Asia/Jakarta,Pasir Pengarayan-Sumatra Island,Riau,small
PDG,-0.78692,100.281,ID,WIEE,Asia/Jakarta,Ketaping/Padang-Sumatra Island,Ketaping,small
DTB,2.25973,98.9919,ID,WIMN,Asia/Jakarta,Tingkeum-Sumatra Island,North Sumatra,small
SIW,2.66667,98.93333,ID,WIMP,Asia/Jakarta,Parapat-Sumatra Island,,small
KTG,-1.81664,109.963,ID,WIOK,Asia/Pontianak,Ketapang-Borneo Island,,small
MEP,2.383,103.867,MY,WMAU,Asia/Kuala_Lumpur,Mersing,Johor,small
KUA,3.77539,103.209,MY,WMKD,Asia/Kuala_Lumpur,Kuantan,Pahang,small
KTE,4.53722,103.427,MY,WMKE,Asia/Kuala_Lumpur,Kerteh,Terengganu,small
IPH,4.56797,101.092,MY,WMKI,Asia/Kuala_Lumpur,Ipoh,,small
BXT,0.11969,117.475,ID,WRLC,Asia/Makassar,Bontang-Borneo Island,East Kalimantan,small
XSP,1.41695,103.868,SG,WSSL,Asia/Singapore,Seletar,,small
KNU,26.4414,80.3649,IN,VIKA,Asia/Kolkata,,Uttar Pradesh,small
KTU,25.1602,75.8456,IN,VIKO,Asia/Kolkata,,Rajasthan,small
ZVK,16.5566,104.76,LA,VLSK,Asia/Vientiane,,Savannahkhet,small
XKH,19.45,103.158,LA,VLXK,Asia/Vientiane,Xieng Khouang,Xiangkhoang,small
GKH,28.05,84.483,NP,VNGK,Asia/Kathmandu,Gorkha,Western Region,small
JIR,27.617,86.217,NP,VNJI,Asia/Kathmandu,Jiri,,small
CNN,11.91583,75.54583,IN,VOKN,Asia/Kolkata,Mattannur,Kerala,medium
THS,17.238,99.8182,TH,VTPO,Asia/Bangkok,,Sukhothai,small
